jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|clParams|alpha,  modelParams|tpParams|minThreshold,  modelParams|tpParams|activationThreshold,  modelParams|tpParams|pamLength,  modelParams|sensorParams|encoders|sine:n,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1]:window=1000:field=sine,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1]:window=1000:field=sine, 
1000,  1000,  completed,  eof,  2016-04-06 07:39:35,  2016-04-06 07:39:45,  10,  modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|sine:n_272.modelParams|spParams|synPermInactiveDec_0.05015,  1000,  0.05005,  11,  14,  3,  272,  0.05015,  0.0595081824879,  9.34124927324, 
1000,  1061,  completed,  eof,  2016-04-06 07:39:35,  2016-04-06 07:39:43,  8,  modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|sine:n_22.modelParams|spParams|synPermInactiveDec_0.1,  1000,  0.0001,  9,  12,  1,  22,  0.1,  0.177290555553,  27.830042928, 
1000,  1122,  completed,  eof,  2016-04-06 07:39:35,  2016-04-06 07:39:45,  10,  modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|sine:n_521.modelParams|spParams|synPermInactiveDec_0.0003,  1000,  0.1,  12,  16,  5,  521,  0.0003,  0.0596194375836,  9.35871345275, 
1000,  1173,  completed,  eof,  2016-04-06 07:39:36,  2016-04-06 07:39:44,  8,  modelParams|clParams|alpha_0.025075.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|sine:n_147.modelParams|spParams|synPermInactiveDec_0.075075,  1000,  0.025075,  10,  13,  2,  147,  0.075075,  0.0674496164817,  10.5878495124, 
1000,  1207,  completed,  eof,  2016-04-06 07:39:36,  2016-04-06 07:39:45,  9,  modelParams|clParams|alpha_0.075025.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_4.modelParams|sensorParams|encoders|sine:n_396.modelParams|spParams|synPermInactiveDec_0.025225,  1000,  0.075025,  11,  15,  4,  396,  0.025225,  0.0591747779405,  9.2889133615, 
1000,  1235,  completed,  eof,  2016-04-06 07:39:43,  2016-04-06 07:39:50,  7,  modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|sine:n_22.modelParams|spParams|synPermInactiveDec_0.1,  1000,  0.0001,  9,  12,  1,  22,  0.1,  0.177290555553,  27.830042928, 
1000,  1236,  completed,  eof,  2016-04-06 07:39:44,  2016-04-06 07:39:52,  8,  modelParams|clParams|alpha_0.02008.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|sine:n_122.modelParams|spParams|synPermInactiveDec_0.07009,  1000,  0.02008,  10,  13,  2,  122,  0.07009,  0.0650317177015,  10.2083017884, 
1000,  1237,  completed,  eof,  2016-04-06 07:39:45,  2016-04-06 07:39:53,  8,  modelParams|clParams|alpha_0.055045.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|sine:n_296.modelParams|spParams|synPermInactiveDec_0.055135,  1000,  0.055045,  11,  14,  3,  296,  0.055135,  0.0655178851223,  10.2846175298, 
1000,  1238,  completed,  eof,  2016-04-06 07:39:45,  2016-04-06 07:39:53,  8,  modelParams|clParams|alpha_0.07003.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_4.modelParams|sensorParams|encoders|sine:n_421.modelParams|spParams|synPermInactiveDec_0.03021,  1000,  0.07003,  10,  15,  4,  421,  0.03021,  0.0619009808753,  9.71685688319, 
